,fighter1,fighter2,event_name,event_date,details,result,fighter_name
5,Rafael Natal,Eryk Anders,UFC Fight Night Weidman vs Gastelum,"Jul 22, 2017",Live on CTV TWO,Win,Eryk Anders
0,Ilir Latifi,Corey Anderson,UFC 232,"Dec 29, 2018",Jones vs. Gustafsson 2,UPCOMING,Corey Anderson
1,Glover Teixeira,Corey Anderson,UFC Fight Night Shogun vs Smith,"Jul 22, 2018",Live on TSN 2,Win,Corey Anderson
2,Corey Anderson,Patrick Cummins,UFC Fight Night Barboza vs Lee,"Apr 21, 2018",Live on TSN 5,Win,Corey Anderson
3,Ovince Saint Preux,Corey Anderson,UFC 217 Bisping vs St-Pierre,"Nov 4, 2017",Live on Pay-Per-View,Loss,Corey Anderson
4,Jimi Manuwa,Corey Anderson,UFC Fight Night Manuwa vs Anderson,"Mar 18, 2017",Live on Fight Network,Loss,Corey Anderson
5,Corey Anderson,Sean O'Connell,UFC Fight Night Lewis vs Abdurakhimov,"Dec 9, 2016",Live on Fight Network and UFC FIGHT PASS,Win,Corey Anderson
6,Mauricio Rua,Corey Anderson,UFC 198 Werdum vs. Miocic,"May 14, 2016",Live on Pay-Per-View,Loss,Corey Anderson
7,Corey Anderson,Tom Lawlor,UFC 196 McGregor vs. Diaz,"Mar 5, 2016",Live on Pay-Per-View,Win,Corey Anderson
8,Fabio Maldonado,Corey Anderson,UFC Fight Night Belfort vs Henderson,"Nov 7, 2015",FS1,Win,Corey Anderson
9,Jan Blachowicz,Corey Anderson,UFC 191 Johnson vs. Dodson 2,"Sep 5, 2015",Live on Pay-Per-View,Win,Corey Anderson
10,Corey Anderson,Gian Villante,UFC Fight Night Machida vs. Rockhold,"Apr 18, 2015",CTV TWO,Loss,Corey Anderson
11,Corey Anderson,Justin Jones,UFC 181 Hendricks vs. Lawler II,"Dec 6, 2014",Live on Pay-Per-View,Win,Corey Anderson
12,Corey Anderson,Matt Van Buren,TUF 19 Finale Edgar vs. Penn,"Jul 6, 2014",Sportsnet 360,,Corey Anderson
0,Cat Zingano,Megan Anderson,UFC 232,"Dec 29, 2018",Jones vs. Gustafsson 2,UPCOMING,Megan Anderson
1,Holly Holm,Megan Anderson,UFC 225 Whittaker vs Romero 2,"Jun 9, 2018",Live on Pay-Per-View,Loss,Megan Anderson
0,Jessica Andrade,Karolina Kowalkiewicz,UFC 228 Woodley vs. Till,"Sep 8, 2018",Live on Pay-Per-View,Win,Jessica Andrade
1,Jessica Andrade,Tecia Torres,UFC Fight Night Emmett vs Stephens,"Feb 24, 2018",Live on CTV TWO,Win,Jessica Andrade
2,Claudia Gadelha,Jessica Andrade,UFC Fight Night Shogun vs Saint Preux 2,"Sep 22, 2017",Live on TSN 2 and RDS 2,Win,Jessica Andrade
3,Joanna Jedrzejczyk,Jessica Andrade,UFC 211 Miocic vs Dos Santos 2,"May 13, 2017",Live on Pay-Per-View,,Jessica Andrade
4,Jessica Andrade,Angela Hill,UFC Fight Night Bermudez vs Korean Zombie,"Feb 4, 2017",Live on TSN,Win,Jessica Andrade
5,Jessica Andrade,Joanne Calderwood,UFC 203 Miocic vs. Overeem,"Sep 10, 2016",Live on Pay-Per-View,Win,Jessica Andrade
6,Jessica Penne,Jessica Andrade,UFC 199 Rockhold vs. Bisping 2,"Jun 4, 2016",Live on Pay-Per-View,Win,Jessica Andrade
7,Jessica Andrade,Raquel Pennington,UFC 191 Johnson vs. Dodson 2,"Sep 5, 2015",Live on Pay-Per-View,Loss,Jessica Andrade
8,Jessica Andrade,Sarah Moras,UFC Fight Night Mir vs. Duffee,"Jul 15, 2015",TSN 4/5,Win,Jessica Andrade
9,Jessica Andrade,Marion Reneau,UFC Fight Night Bigfoot vs. Mir,"Feb 22, 2015",TSN 2,Loss,Jessica Andrade
10,Jessica Andrade,Larissa Pacheco,UFC Fight Night Bigfoot vs. Arlovski,"Sep 13, 2014",UFC FIGHT PASS,Win,Jessica Andrade
11,Raquel Pennington,Jessica Andrade,UFC 171 Hendricks vs. Lawler,"Mar 15, 2014",Live on Pay-Per-View,Win,Jessica Andrade
12,Rosi Sexton,Jessica Andrade,UFC Fight Night Live on Sportsnet,"Oct 26, 2013",Machida vs. Munoz,Win,Jessica Andrade
13,Liz Carmouche,Jessica Andrade,UFC on FOX 8 Live from Seattle,"Jul 27, 2013",Johnson vs. Moraga,Loss,Jessica Andrade
0,Magomed Ankalaev,Marcin Prachnio,UFC Fight Night Hunt vs Oleinik,"Sep 15, 2018",Live on Fight Network,Win,Magomed Ankalaev
1,Paul Craig,Magomed Ankalaev,UFC Fight Night Werdum vs Volkov,"Mar 17, 2018",Live on Fight Network & UFC FIGHT PASS,Loss,Magomed Ankalaev
0,Claudia Gadelha,Nina Ansaroff,UFC 231,"Dec 8, 2018",Holloway vs. Ortega,UPCOMING,Nina Ansaroff
1,Randa Markos,Nina Ansaroff,UFC Fight Night Alvarez vs Poirier,"Jul 28, 2018",Live on CTV TWO,Win,Nina Ansaroff
2,Angela Hill,Nina Ansaroff,UFC Fight Night Poirier vs Pettis,"Nov 11, 2017",Live on TSN 5,Win,Nina Ansaroff
3,Jocelyn Jones-Lybarger,Nina Ansaroff,UFC Fight Night Rodriguez vs Penn,"Jan 15, 2017",Live on TSN 5,Win,Nina Ansaroff
4,Justine Kish,Nina Ansaroff,UFC 195 Lawler vs Condit,"Jan 2, 2016",Live on Pay-Per-View,Loss,Nina Ansaroff
5,Juliana Lima,Nina Ansaroff,UFC Fight Night Shogun vs. Saint Preux,"Nov 8, 2014",UFC FIGHT PASS,Loss,Nina Ansaroff
0,Gadzhimurad Antigulov,Ion Cutelaba,UFC Fight Night Alvarez vs Poirier,"Jul 28, 2018",Live on CTV TWO,Loss,Gadzhimurad Antigu...
1,Joachim Christensen,Gadzhimurad Antigulov,UFC 211 Miocic vs Dos Santos 2,"May 13, 2017",Live on Pay-Per-View,Win,Gadzhimurad Antigu...
2,Marcos Rogerio De Lima,Gadzhimurad Antigulov,UFC Fight Night Bader vs Nogueira,"Nov 19, 2016",Live on TSN 5,Win,Gadzhimurad Antigu...
0,Casey  Kenney,Adam Antolin,Tuesday Night Contender Series Live on UFC FIGHT PASS,"Aug 29, 2017",Las Vegas,Win,Adam Antolin
1,Adam Antolin,Ronald Carillo,Strikeforce Challengers 15,"Apr 1, 2011",,Loss,Adam Antolin
2,Adam Antolin,Javi Alanis,Strikeforce - Young Guns 3,"Sep 13, 2008",,Win,Adam Antolin
3,Adam Antolin,Hugo Govea,Strikeforce - Young Guns 2,"Feb 1, 2008",,Win,Adam Antolin
0,Justin Ledet,Zu Anyanwu,UFC Fight Night Rockhold vs Branch,"Sep 16, 2017",Live on RDS 2,Loss,Zu Anyanwu
1,Greg Rebello,Zu Anyanwu,Tuesday Night Contender Series Live on UFC FIGHT PASS,"Jul 11, 2017",Las Vegas,Win,Zu Anyanwu
0,Shinsho Anzai,Jake Matthews,UFC Fight Night Cowboy vs Edwards,"Jun 23, 2018",Live on Fight Network,Loss,Shinsho Anzai
1,Shinsho Anzai,Luke Jumeau,UFC Fight Night Shogun vs Saint Preux 2,"Sep 22, 2017",Live on TSN 2 and RDS 2,Win,Shinsho Anzai
2,Shinsho Anzai,Roger Zapata,UFC Fight Night Nelson vs. Barnett,"Sep 26, 2015",TSN 5,Win,Shinsho Anzai
3,Alberto Mina,Shinsho Anzai,UFC Fight Night Bisping vs. Le,"Aug 23, 2014",UFC FIGHT PASS,Loss,Shinsho Anzai
0,Felipe Arantes,Song Yadong,UFC Fight Night Cowboy vs Edwards,"Jun 23, 2018",Live on Fight Network,Loss,Felipe Arantes
1,Felipe Arantes,Josh Emmett,UFC Fight Night Cerrone vs Till,"Oct 21, 2017",Live on Fight Network,Loss,Felipe Arantes
2,Erik Perez,Felipe Arantes,UFC Fight Night Dos Anjos vs Ferguson,"Nov 5, 2016",Live on TSN 5,Loss,Felipe Arantes
3,Felipe Arantes,Jerrod Sanders,UFC Fight Night Dos Anjos vs. Alvarez,"Jul 7, 2016",Live on Fight Network,Win,Felipe Arantes
4,Yves Jabouin,Felipe Arantes,UFC Fight Night Holloway vs. Oliveira,"Aug 23, 2015",TSN 5,Win,Felipe Arantes
5,Felipe Arantes,Andre Fili,UFC 179 Aldo vs. Mendes 2,"Oct 25, 2014",Live on Pay-Per-View,Loss,Felipe Arantes
6,Felipe Arantes,Maximo Blanco,UFC Fight Night Live on Sportsnet 360,"Feb 15, 2014",Machida vs. Mousasi,Win,Felipe Arantes
7,Felipe Arantes,Kevin Souza,UFC,"Sep 4, 2013",Teixeira vs. Bader Teixeira vs. Bader:Sept. 4 on FOX Sports 1,Loss,Felipe Arantes
8,Godofredo Pepey,Felipe Arantes,UFC on FUEL TV 10 Live from Brazil,"Jun 8, 2013",Nogueira vs. Werdum,Win,Felipe Arantes
9,Felipe Arantes,Milton Vieira,UFC® 147,"Jun 23, 2012",Silva vs. Franklin II,DRAW,Felipe Arantes
10,Felipe Arantes,Antonio  Carvalho,UFC® RIO,"Jan 14, 2012",Aldo vs. Mendes,Win,Felipe Arantes
11,Iuri Alcantara,Felipe Arantes,UFC® RIO Live on Pay-Per-View,"Aug 27, 2011",Silva vs. Okami,Loss,Felipe Arantes
0,Julio Arce,Sheymon Moraes,UFC 230 Cormier vs Lewis,"Nov 3, 2018",Live on Pay-Per-View,Loss,Julio Arce
1,Julio Arce,Daniel Teymur,UFC Fight Night Rivera vs Moraes,"Jun 1, 2018",Live on TSN 2,Win,Julio Arce
2,Dan Ige,Julio Arce,UFC 220 Miocic vs Ngannou,"Jan 20, 2018",Live on Pay-Per-View,Win,Julio Arce
3,Peter Petties,Julio Arce,Tuesday Night Contender Series Live on UFC FIGHT PASS,"Aug 8, 2017",Las Vegas,Win,Julio Arce
0,Andrei Arlovski,Walt Harris,UFC 232,"Dec 29, 2018",Jones vs. Gustafsson 2,UPCOMING,Andrei Arlovski
1,Andrei Arlovski,Shamil Abdurakhimov,UFC Fight Night Hunt vs Oleinik,"Sep 15, 2018",Live on Fight Network,Loss,Andrei Arlovski
2,Andrei Arlovski,Tai Tuivasa,UFC 225 Whittaker vs Romero 2,"Jun 9, 2018",Live on Pay-Per-View,Loss,Andrei Arlovski
3,Stefan Struve,Andrei Arlovski,UFC 222 Cyborg vs Kunitskaya,"Mar 3, 2018",Live on Pay-Per-View,Win,Andrei Arlovski
4,Junior Albini,Andrei Arlovski,UFC Fight Night Poirier vs Pettis,"Nov 11, 2017",Live on TSN 5,Win,Andrei Arlovski
5,Andrei Arlovski,Marcin Tybura,UFC Fight Night Holm vs Correia,"Jun 17, 2017",Live on Fight Network,Loss,Andrei Arlovski
6,Andrei Arlovski,Francis Ngannou,UFC Fight Night Shevchenko vs Pena,"Jan 28, 2017",Live on TSN 5,Loss,Andrei Arlovski
7,Andrei Arlovski,Josh Barnett,UFC Fight Night Arlovski vs Barnett,"Sep 3, 2016",Live on Fight Network and UFC FIGHT PASS,Loss,Andrei Arlovski
8,Alistair Overeem,Andrei Arlovski,UFC Fight Night Overeem vs. Arlovski,"May 8, 2016",TSN 2,Loss,Andrei Arlovski
9,Stipe Miocic,Andrei Arlovski,UFC 195 Lawler vs Condit,"Jan 2, 2016",Live on Pay-Per-View,Loss,Andrei Arlovski
10,Andrei Arlovski,Frank Mir,UFC 191 Johnson vs. Dodson 2,"Sep 5, 2015",Live on Pay-Per-View,Win,Andrei Arlovski
11,Travis Browne,Andrei Arlovski,UFC 187 Johnson vs. Cormier,"May 23, 2015",Live on Pay-Per-View,Win,Andrei Arlovski
12,Antonio Silva,Andrei Arlovski,UFC Fight Night Bigfoot vs. Arlovski,"Sep 13, 2014",UFC FIGHT PASS,Win,Andrei Arlovski
13,Andrei Arlovski,Brendan Schaub,UFC 174 Johnson vs. Bagautinov,"Jun 14, 2014",Live on Pay-Per-View,Win,Andrei Arlovski
14,Andrei Arlovski,Sergei Kharitonov,Strikeforce - Fedor vs. Silva,"Feb 12, 2011",,Loss,Andrei Arlovski
15,Andrei Arlovski,Antonio Silva,Strikeforce - Heavy Artillery,"May 15, 2010",,Loss,Andrei Arlovski
16,Brett Rogers,Andrei Arlovski,Strikeforce - Lawler vs. Shields,"Jun 6, 2009",,Loss,Andrei Arlovski
17,Fedor Emelianenko,Andrei Arlovski,Affliction - Day of Reckoning,"Jan 24, 2009",,Loss,Andrei Arlovski
18,Andrei Arlovski,Roy Nelson,EliteXC - Heat,"Oct 4, 2008",,Win,Andrei Arlovski
19,Andrei Arlovski,Ben Rothwell,Affliction - Banned,"Jul 19, 2008",,Win,Andrei Arlovski
20,Andrei Arlovski,Jake O'Brien,UFC® 82,"Mar 1, 2008",PRIDE OF A CHAMPION,Win,Andrei Arlovski
21,Andrei Arlovski,Fabricio Werdum,UFC® 70,"Apr 21, 2007",NATIONS COLLIDE,Win,Andrei Arlovski
22,Andrei Arlovski,Marcio Cruz,UFC® 66,"Dec 30, 2006",LIDDELL VS. ORTIZ,Win,Andrei Arlovski
23,Tim Sylvia,Andrei Arlovski,UFC® 61,"Jul 8, 2006",Bitter Rivals,,Andrei Arlovski
24,Tim Sylvia,Andrei Arlovski,UFC® 59,"Apr 15, 2006",Reality Check,,Andrei Arlovski
25,Andrei Arlovski,Paul Buentello,UFC® 55,"Oct 7, 2005",Fury,,Andrei Arlovski
26,Andrei Arlovski,Justin Eilers,UFC® 53,"Jun 4, 2005",Heavy Hitters,,Andrei Arlovski
27,Andrei Arlovski,Tim Sylvia,UFC® 51,"Feb 5, 2005",Super Saturday,,Andrei Arlovski
28,Andrei Arlovski,Wesley Correira,UFC® 47,"Apr 2, 2004",IT'S ON,Win,Andrei Arlovski
29,Andrei Arlovski,Vladimir Matyushenko,UFC® 44,"Sep 26, 2003",Undisputed,Win,Andrei Arlovski
30,Andrei Arlovski,Ian Freeman,UFC® 40,"Nov 22, 2002",Vendetta,Win,Andrei Arlovski
31,Pedro Rizzo,Andrei Arlovski,UFC® 36,"Mar 22, 2002",Worlds Collide,Loss,Andrei Arlovski
32,Ricco Rodriguez,Andrei Arlovski,UFC® 32,"Jun 29, 2001",Showdown In The Meadowlands,Loss,Andrei Arlovski
33,Andrei Arlovski,Aaron Brink,UFC® 28,"Nov 17, 2000",High Stakes,Win,Andrei Arlovski
0,Humberto Bandenay,Austin Arnett,UFC Fight Night,"Nov 17, 2018",Magny vs. Ponzinibbio,UPCOMING,Austin Arnett
1,Hakeem Dawodu,Austin Arnett,UFC Fight Night Alvarez vs Poirier,"Jul 28, 2018",Live on CTV TWO,Loss,Austin Arnett
2,Austin Arnett,Cory Sandhagen,UFC Fight Night Jacare vs Brunson 2,"Jan 27, 2018",Live on CTV TWO,Loss,Austin Arnett
3,Austin Arnett,Brandon  Davis,Tuesday Night Contender Series Live on UFC FIGHT PASS,"Aug 1, 2017",Las Vegas,Loss,Austin Arnett
0,Tai Tuivasa,Cyril Asker,UFC 221 Romero vs Rockhold,"Feb 10, 2018",Live on Pay-Per-View,Loss,Cyril Asker
1,Cyril Asker,Hu Yaozong,UFC Fight Night Bisping vs Gastelum,"Nov 25, 2017",Live on Fight Network,Win,Cyril Asker
2,Cyril Asker,Walt Harris,UFC Fight Night Holm vs Correia,"Jun 17, 2017",Live on Fight Network,Loss,Cyril Asker
3,Dmitrii Smoliakov,Cyril Asker,UFC Fight Night Rodriguez vs Penn,"Jan 15, 2017",Live on TSN 5,Win,Cyril Asker
4,Jared Cannonier,Cyril Asker,UFC Fight Night Rothwell vs. Dos Santos,"Apr 10, 2016",TSN 2,Loss,Cyril Asker
0,Raphael Assuncao,Rob Font,UFC 226 Miocic vs Cormier,"Jul 7, 2018",Live on Pay-Per-View,Win,Raphael Assuncao
1,Raphael Assuncao,Matthew Lopez,UFC Fight Night Poirier vs Pettis,"Nov 11, 2017",Live on TSN 5,Win,Raphael Assuncao
2,Raphael Assuncao,Marlon Moraes,UFC 212 Aldo vs Holloway,"Jun 3, 2017",Live on Pay-Per-View,Win,Raphael Assuncao
3,Raphael Assuncao,Aljamain Sterling,UFC Fight Night Shevchenko vs Pena,"Jan 28, 2017",Live on TSN 5,Win,Raphael Assuncao
4,TJ Dillashaw,Raphael Assuncao,UFC 200 Tate vs Nunes,"Jul 9, 2016",Live on Pay-Per-View,Loss,Raphael Assuncao
5,Raphael Assuncao,Bryan Caraway,UFC Fight Night MacDonald vs. Saffiedine,"Oct 4, 2014",Sportsnet 360,Win,Raphael Assuncao
6,Raphael Assuncao,Pedro Munhoz,UFC 170 Rousey vs. McMann,"Feb 22, 2014",Live on Pay-Per-View,Win,Raphael Assuncao
7,Raphael Assuncao,TJ Dillashaw,UFC Fight Night Live on Sportsnet,"Oct 9, 2013",Maia vs. Shields,Win,Raphael Assuncao
8,Raphael Assuncao,Vaughan Lee,UFC on FUEL TV 10 Live from Brazil,"Jun 8, 2013",Nogueira vs. Werdum,Win,Raphael Assuncao
9,Raphael Assuncao,Mike Easton,UFC®,"Dec 8, 2012",Henderson vs. Diaz,Win,Raphael Assuncao
10,Raphael Assuncao,Issei Tamura,UFC on FUEL TV 4,"Jul 11, 2012",Munoz vs. Weidman,Win,Raphael Assuncao
11,Raphael Assuncao,Johnny Eduardo,UFC® RIO Live on Pay-Per-View,"Aug 27, 2011",Silva vs. Okami,Win,Raphael Assuncao
12,Erik Koch,Raphael Assuncao,UFC® 128,"Mar 19, 2011",SHOGUN vs JONES,Loss,Raphael Assuncao
13,Raphael Assuncao,LC Davis,WEC 52,"Nov 11, 2010",Faber vs. Mizugaki,Win,Raphael Assuncao
14,Raphael Assuncao,Diego Nunes,WEC 49,"Jun 20, 2010",Varner vs. Shalorus,Loss,Raphael Assuncao
15,Urijah Faber,Raphael Assuncao,WEC 46,"Jan 10, 2010",Varner vs. Henderson,Loss,Raphael Assuncao
16,Raphael Assuncao,Yves Jabouin,WEC 43,"Oct 10, 2009",Cerrone vs. Henderson,Win,Raphael Assuncao
17,Raphael Assuncao,Jameel Massouh,WEC 40,"Apr 5, 2009",Torres vs. Mizugaki,Win,Raphael Assuncao
0,Olivier Aubin-Mercier,Gilbert Burns,UFC 231,"Dec 8, 2018",Holloway vs. Ortega,UPCOMING,Olivier Aubin-Merc...
1,Alexander Hernandez,Olivier Aubin-Mercier,UFC Fight Night Alvarez vs Poirier,"Jul 28, 2018",Live on CTV TWO,Loss,Olivier Aubin-Merc...
2,Evan Dunham,Olivier Aubin-Mercier,UFC 223 Khabib vs Iaquinta,"Apr 7, 2018",Live on Pay-Per-View,Win,Olivier Aubin-Merc...
3,Tony Martin,Olivier Aubin-Mercier,UFC Fight Night Rockhold vs Branch,"Sep 16, 2017",Live on RDS 2,Win,Olivier Aubin-Merc...
4,Olivier Aubin-Mercier,Drew Dober,UFC 206 Holloway vs Pettis,"Dec 10, 2016",Live on Pay-Per-View,Win,Olivier Aubin-Merc...
5,Olivier Aubin-Mercier,Thibault Gouti,UFC Fight Night MacDonald vs. Thompson,"Jun 18, 2016",Live on TSN 5,Win,Olivier Aubin-Merc...
6,Olivier Aubin-Mercier,Diego Ferreira,UFC Fight Night Johnson vs. Bader,"Jan 30, 2016",Live on FOX,Loss,Olivier Aubin-Merc...
7,Olivier Aubin-Mercier,Tony Sims,UFC Fight Night Holloway vs. Oliveira,"Aug 23, 2015",TSN 5,Win,Olivier Aubin-Merc...
8,Olivier Aubin-Mercier,David Michaud,UFC 186 Johnson vs. Horiguchi,"Apr 25, 2015",Live on Pay-Per-View,Win,Olivier Aubin-Merc...
9,Olivier Aubin-Mercier,Jake Lindsey,UFC Fight Night MacDonald vs. Saffiedine,"Oct 4, 2014",Sportsnet 360,Win,Olivier Aubin-Merc...
10,Chad Laprise,Olivier Aubin-Mercier,TUF Nations Finale Bisping vs. Kennedy,"Apr 16, 2014",Sportsnet 360,,Olivier Aubin-Merc...
0,Stevie Ray,Jessin Ayari,UFC Fight Night Volkan vs Smith,"Oct 27, 2018",Live on TSN 5,Loss,Jessin Ayari
1,Darren Till,Jessin Ayari,UFC Fight Night Gustafsson vs Teixeira,"May 28, 2017",Live on TSN 5,Loss,Jessin Ayari
2,Jessin Ayari,Jimmy Wallhead,UFC Fight Night Arlovski vs Barnett,"Sep 3, 2016",Live on Fight Network and UFC FIGHT PASS,Win,Jessin Ayari
0,Vitor Miranda,Abu Azaitar,UFC Fight Night Shogun vs Smith,"Jul 22, 2018",Live on TSN 2,Win,Abu Azaitar
0,Siyar Bahadurzada,Luan Chagas,UFC Fight Night Barboza vs Lee,"Apr 21, 2018",Live on TSN 5,Win,Siyar Bahadurzada
1,Siyar Bahadurzada,Rob Wilkinson,UFC Fight Night Volkov vs Struve,"Sep 2, 2017",Live on Fight Network,Win,Siyar Bahadurzada
2,Brandon Thatch,Siyar Bahadurzada,UFC 196 McGregor vs. Diaz,"Mar 5, 2016",Live on Pay-Per-View,Win,Siyar Bahadurzada
3,John  Howard,Siyar Bahadurzada,UFC 168 Live on Pay-Per-View,"Dec 28, 2013",Weidman vs. Silva 2,Loss,Siyar Bahadurzada
4,Dong Hyun Kim,Siyar Bahadurzada,UFC,"Mar 2, 2013",Japan 2013,Loss,Siyar Bahadurzada
5,Paulo Thiago,Siyar Bahadurzada,UFC® Live,"Apr 14, 2012",Gustafsson vs. Silva,Win,Siyar Bahadurzada
0,Humberto Bandenay,Austin Arnett,UFC Fight Night,"Nov 17, 2018",Magny vs. Ponzinibbio,UPCOMING,Humberto Bandenay
1,Gabriel Benitez,Humberto Bandenay,UFC Fight Night Maia vs Usman,"May 19, 2018",Live on TSN 2,Loss,Humberto Bandenay
2,Martin Bravo,Humberto Bandenay,UFC Fight Night Pettis vs Moreno,"Aug 5, 2017",Live on TSN 5,Win,Humberto Bandenay
0,Nick Hein,Tae Hyun Bang,UFC Fight Night Arlovski vs Barnett,"Sep 3, 2016",Live on Fight Network and UFC FIGHT PASS,Loss,Tae Hyun Bang
1,Tae Hyun Bang,Leo Kuntz,UFC Fight Night Henderson vs Masvidal,"Nov 28, 2015",Fight Network,Win,Tae Hyun Bang
2,Tae Hyun Bang,Jon Tuck,UFC Fight Night Edgar vs. Faber,"May 16, 2015",TSN,Loss,Tae Hyun Bang
3,Kajan Johnson,Tae Hyun Bang,UFC 174 Johnson vs. Bagautinov,"Jun 14, 2014",Live on Pay-Per-View,Win,Tae Hyun Bang
4,Mairbek Taisumov,Tae Hyun Bang,UFC Fight Night Saffiedine vs. Lim,"Jan 4, 2014",Live on UFC Fight Pass,Loss,Tae Hyun Bang
0,Renan Barao,Andre Ewell,UFC Fight Night Santos vs Anders,"Sep 22, 2018",Live on TSN 5,Loss,Renan Barao
1,Renan Barao,Brian Kelleher,UFC Fight Night Emmett vs Stephens,"Feb 24, 2018",Live on CTV TWO,Loss,Renan Barao
2,Aljamain Sterling,Renan Barao,UFC 214 Cormier vs Jones 2,"Jul 29, 2017",Live on Pay-Per-View,Loss,Renan Barao
3,Renan Barao,Phillipe Nover,UFC Fight Night Cyborg vs Lansberg,"Sep 24, 2016",Live on TSN 5,Win,Renan Barao
4,Renan Barao,Jeremy Stephens,UFC Fight Night Almeida vs. Garbrandt,"May 29, 2016",TSN 5,Loss,Renan Barao
5,TJ Dillashaw,Renan Barao,UFC Fight Night Dillashaw vs. Barao 2,"Jul 25, 2015",Live on CTV TWO,,Renan Barao
6,Renan Barao,Mitch Gagnon,UFC Fight Night Machida vs. Dollaway,"Dec 20, 2014",Sportsnet 360,Win,Renan Barao
7,Renan Barao,TJ Dillashaw,UFC 173 Barao vs. Dillashaw,"May 24, 2014",Live on Pay-Per-View,,Renan Barao
8,Renan Barao,Urijah Faber,UFC 169 Live on Pay-Per-View,"Feb 1, 2014",Barao vs. Faber,,Renan Barao
9,Renan Barao,Eddie Wineland,UFC 165 Live on Pay-Per-View,"Sep 21, 2013",Jones vs. Gustafsson,,Renan Barao
10,Renan Barao,Michael McDonald,UFC London Interim Bantamweight Title Fight,"Feb 16, 2013",Barao vs. McDonald,,Renan Barao
11,Urijah Faber,Renan Barao,UFC® 149,"Jul 21, 2012",Faber vs. Barao,,Renan Barao
12,Renan Barao,Scott Jorgensen,UFC® 143,"Feb 4, 2012",Diaz vs. Condit,Win,Renan Barao
13,Brad Pickett,Renan Barao,UFC® 138,"Nov 5, 2011",LEBEN vs. MUNOZ,Win,Renan Barao
14,Cole Escovedo,Renan Barao,UFC® 130,"May 28, 2011",Rampage vs. Hamill,Win,Renan Barao
15,Chris Cariaso,Renan Barao,WEC 53,"Dec 16, 2010",Henderson vs. Pettis,Win,Renan Barao
16,Anthony Leone,Renan Barao,WEC 49,"Jun 20, 2010",Varner vs. Shalorus,Win,Renan Barao
0,Jake Ellenberger,Bryan Barberena,UFC Fight Night Gaethje vs Vick,"Aug 25, 2018",Live on TSN 5,Win,Bryan Barberena
1,Leon Edwards,Bryan Barberena,UFC Fight Night Volkov vs Struve,"Sep 2, 2017",Live on Fight Network,Loss,Bryan Barberena
2,Bryan Barberena,Joe Proctor,UFC Fight Night Swanson vs Lobov,"Apr 22, 2017",Live on TSN 5,Win,Bryan Barberena
3,Bryan Barberena,Colby Covington,UFC Fight Night VanZant vs Waterson,"Dec 17, 2016",Live on TSN 4 & 5,Loss,Bryan Barberena
4,Warlley Alves,Bryan Barberena,UFC 198 Werdum vs. Miocic,"May 14, 2016",Live on Pay-Per-View,Win,Bryan Barberena
5,Sage Northcutt,Bryan Barberena,UFC Fight Night Johnson vs. Bader,"Jan 30, 2016",Live on FOX,Win,Bryan Barberena
6,Chad Laprise,Bryan Barberena,UFC 186 Johnson vs. Horiguchi,"Apr 25, 2015",Live on Pay-Per-View,Loss,Bryan Barberena
7,Joe Ellenberger,Bryan Barberena,UFC Fight Night Dos Santos vs. Miocic,"Dec 13, 2014",Sportsnet 360,Win,Bryan Barberena
0,Edson Barboza,Dan Hooker,UFC Fight Night,"Dec 15, 2018",Lee vs. Iaquinta,UPCOMING,Edson  Barboza
1,Edson  Barboza,Kevin Lee,UFC Fight Night Barboza vs Lee,"Apr 21, 2018",Live on TSN 5,Loss,Edson  Barboza
2,Khabib Nurmagomedov,Edson  Barboza,UFC 219 Cyborg vs Holm,"Dec 30, 2017",Live on Pay-Per-View,Loss,Edson  Barboza
3,Edson  Barboza,Beneil Dariush,UFC Fight Night Belfort vs Gastelum,"Mar 11, 2017",Live on TSN 5,Win,Edson  Barboza
4,Edson  Barboza,Gilbert Melendez,UFC Fight Night Holm vs Shevchenko,"Jul 23, 2016",Live on CTV 2,Win,Edson  Barboza
5,Anthony Pettis,Edson  Barboza,UFC 197 Jones vs. Saint Preux,"Apr 23, 2016",Live on Pay-Per-View,Win,Edson  Barboza
6,Edson  Barboza,Tony Ferguson,The Ultimate Fighter Finale Team McGregor vs Team Faber,"Dec 11, 2015",TSN 1/5,Loss,Edson  Barboza
7,Edson  Barboza,Paul Felder,UFC Fight Night Dillashaw vs. Barao 2,"Jul 25, 2015",Live on CTV TWO,Win,Edson  Barboza
8,Edson  Barboza,Michael Johnson,UFC Fight Night Bigfoot vs. Mir,"Feb 22, 2015",TSN 2,Loss,Edson  Barboza
9,Bobby Green,Edson  Barboza,UFC Fight Night Edgar vs. Swanson,"Nov 22, 2014",Sportsnet 360,Win,Edson  Barboza
10,Edson  Barboza,Evan Dunham,UFC Fight Night Cerrone vs. Miller,"Jul 16, 2014",Sportsnet 360,Win,Edson  Barboza
11,Donald Cerrone,Edson  Barboza,UFC Fight Night Werdum vs. Browne,"Apr 19, 2014",Sportsnet 360,Loss,Edson  Barboza
12,Danny Castillo,Edson  Barboza,UFC Fight Night Live on Sportsnet 360,"Dec 14, 2013",Johnson vs. Benavidez 2,Win,Edson  Barboza
13,Edson  Barboza,Rafaello Oliveira,UFC 162 Live from Las Vegas,"Jul 6, 2013",Silva vs. Weidman,Win,Edson  Barboza
